-0.0794722,-0.0590923,-0.0794722,-0.0590923
-0.453872,0.311034,-0.453872,0.311034
0.700554,-0.840762,0.700554,-0.840762
0.584848,-0.725056,0.584848,-0.725056
0.502343,-0.642879,0.502343,-0.642879
0.426739,-0.569906,0.426739,-0.569906
0.365271,-0.506465,0.365271,-0.506465
0.303145,-0.448284,0.303145,-0.448284
0.257783,-0.397991,0.257783,-0.397991
0.214065,-0.358875,0.214065,-0.358875
0.176592,-0.317457,0.176592,-0.317457
0.14142,-0.286559,0.14142,-0.286559
0.119397,-0.260262,0.119397,-0.260262
0.0904703,-0.236595,0.0904703,-0.236595
0.0737061,-0.214243,0.0737061,-0.214243
0.0536549,-0.195506,0.0536549,-0.195506
0.0408352,-0.186631,0.0408352,-0.186631
0.026372,-0.167895,0.026372,-0.167895
0.0148672,-0.156719,0.0148672,-0.156719
0.00270498,-0.144557,0.00270498,-0.144557
-0.00814241,-0.137982,-0.00814241,-0.137982
-0.0140592,-0.130422,-0.0140592,-0.130422
-0.0173463,-0.119575,-0.0173463,-0.119575
-0.0242491,-0.114973,-0.0242491,-0.114973
-0.0321382,-0.110042,-0.0321382,-0.110042
-0.0347678,-0.10544,-0.0347678,-0.10544
-0.039041,-0.10051,-0.039041,-0.10051
-0.041342,-0.102482,-0.041342,-0.102482
-0.041342,-0.0998522,-0.041342,-0.0998522
-0.0475875,-0.0919632,-0.0475875,-0.0919632
-0.0459439,-0.0978799,-0.0459439,-0.0978799
-0.0521894,-0.0968938,-0.0521894,-0.0968938
-0.0469301,-0.0880187,-0.0469301,-0.0880187
-0.0548191,-0.0890048,-0.0548191,-0.0890048
-0.0512033,-0.0890048,-0.0512033,-0.0890048
-0.0558052,-0.08769,-0.0558052,-0.08769
-0.0525181,-0.0883474,-0.0525181,-0.0883474
-0.0558052,-0.0860464,-0.0558052,-0.0860464
-0.0561339,-0.0817732,-0.0561339,-0.0817732
-0.0584349,-0.0873613,-0.0584349,-0.0873613
-0.0584349,-0.0873613,-0.0584349,-0.0873613
-0.0607358,-0.0798009,-0.0607358,-0.0798009
-0.0558052,-0.083088,-0.0558052,-0.083088
-0.0564626,-0.0811158,-0.0564626,-0.0811158
-0.059421,-0.0860464,-0.059421,-0.0860464
-0.0590923,-0.0804584,-0.0590923,-0.0804584
-0.0590923,-0.0814445,-0.0590923,-0.0814445
-0.0551478,-0.0821019,-0.0551478,-0.0821019
-0.0630368,-0.0814445,-0.0630368,-0.0814445
-0.059421,-0.0788148,-0.059421,-0.0788148
-0.0604071,-0.0824306,-0.0604071,-0.0824306
-0.0597497,-0.0834167,-0.0597497,-0.0834167
-0.0640229,-0.0788148,-0.0640229,-0.0788148
-0.0627081,-0.0804584,-0.0627081,-0.0804584
-0.0633655,-0.0821019,-0.0633655,-0.0821019
-0.0630368,-0.0817732,-0.0630368,-0.0817732
-0.0613933,-0.0837455,-0.0613933,-0.0837455
-0.0600784,-0.0771713,-0.0600784,-0.0771713
-0.0613933,-0.0798009,-0.0613933,-0.0798009
-0.0623794,-0.0837455,-0.0623794,-0.0837455
-0.0604071,-0.0791435,-0.0604071,-0.0791435
-0.0633655,-0.0817732,-0.0633655,-0.0817732
-0.0607358,-0.0804584,-0.0607358,-0.0804584
-0.0577775,-0.0834167,-0.0577775,-0.0834167
-0.0613933,-0.0771713,-0.0613933,-0.0771713
